Type,Last,Volume,"Open Int","Daily Premium",Strike,Type,Last,Volume,"Open Int","Daily Premium"
Call,3-1,"1,804","13,401",156.25,480-0,Put,51-4,4,"4,625","2,575.00"
Call,2-6,833,"7,970",137.50,485-0,Put,56-0,4,"4,982","2,800.00"
Call,2-3,1,"6,353",118.75,490-0,Put,60-5,120,"1,425","3,031.25"
Call,2-0,42,"5,376",100.00,495-0,Put,65-3,N/A,122,"3,268.75"
Call,1-6,210,"30,815",87.50,500-0,Put,70-1,N/A,514,"3,506.25"
Call,1-5,2,"3,695",81.25,505-0,Put,74-7,N/A,198,"3,743.75"
Call,1-3,2,"13,056",68.75,510-0,Put,79-5,N/A,214,"3,981.25"
Call,1-2,5,"5,580",62.50,515-0,Put,84-4,N/A,148,"4,225.00"
Call,1-1,77,"14,166",56.25,520-0,Put,89-3,N/A,108,"4,468.75"
Call,1-0,"1,098","2,418",50.00,525-0,Put,94-2,N/A,48,"4,712.50"
Call,0-7,145,"5,388",43.75,530-0,Put,99-1,1,691,"4,956.25"
Call,0-7,N/A,651,43.75,535-0,Put,104-1,N/A,5,"5,206.25"
Call,0-6,51,"6,725",37.50,540-0,Put,109-0,N/A,N/A,"5,450.00"
Call,0-6,N/A,"5,065",37.50,545-0,Put,113-7,N/A,2,"5,693.75"
Call,0-5,261,"40,023",31.25,550-0,Put,118-7,N/A,2,"5,943.75"
Call,0-5,N/A,"1,167",31.25,555-0,Put,123-7,N/A,3,"6,193.75"
Call,0-5,N/A,"4,572",31.25,560-0,Put,128-6,N/A,15,"6,437.50"
Call,0-4,N/A,117,25.00,565-0,Put,133-6,N/A,N/A,"6,687.50"
Call,0-4,1,"3,798",25.00,570-0,Put,138-6,N/A,15,"6,937.50"
Call,0-4,N/A,120,25.00,575-0,Put,143-6,N/A,N/A,"7,187.50"
Call,0-4,117,"6,687",25.00,580-0,Put,148-5,N/A,12,"7,431.25"
Call,0-3,N/A,110,18.75,585-0,Put,153-5,N/A,N/A,"7,681.25"
Call,0-3,N/A,"4,065",18.75,590-0,Put,158-5,N/A,4,"7,931.25"
Call,0-3,11,"21,001",18.75,600-0,Put,168-5,N/A,N/A,"8,431.25"
Call,0-3,1,662,18.75,610-0,Put,178-4,N/A,N/A,"8,925.00"
Call,0-2,3,"4,407",12.50,620-0,Put,188-4,N/A,N/A,"9,425.00"
Call,0-2,N/A,709,12.50,630-0,Put,198-4,N/A,N/A,"9,925.00"
Call,0-2,N/A,849,12.50,640-0,Put,208-4,N/A,N/A,"10,425.00"
Call,0-1,N/A,"2,020",6.25,650-0,Put,218-4,N/A,N/A,"10,925.00"
Call,0-1,N/A,"1,996",6.25,660-0,Put,228-4,N/A,N/A,"11,425.00"
Call,0-1,N/A,"3,887",6.25,670-0,Put,238-4,N/A,N/A,"11,925.00"
Call,0-1,N/A,"1,357",6.25,680-0,Put,248-4,N/A,N/A,"12,425.00"
Call,0-1,N/A,789,6.25,690-0,Put,258-4,N/A,N/A,"12,925.00"
Call,0-1,N/A,"5,304",6.25,700-0,Put,268-4,N/A,1,"13,425.00"
Call,0-1,15,476,6.25,710-0,Put,278-4,N/A,N/A,"13,925.00"
Call,0-1,N/A,"3,611",6.25,720-0,Put,288-4,N/A,N/A,"14,425.00"
Call,0-1,N/A,412,6.25,730-0,Put,298-4,N/A,N/A,"14,925.00"
Call,0-1,N/A,462,6.25,900-0,Put,468-4,N/A,1,"23,425.00"
Call,0-1,N/A,"1,990",6.25,1000-0,Put,568-4,N/A,N/A,"28,425.00"
"Downloaded from Barchart.com as of 07-10-2026 01:17am CDT"
