Type,Last,Volume,"Open Int","Daily Premium",Strike,Type,Last,Volume,"Open Int","Daily Premium"
Call,32-1,60,"2,182","1,606.25",1160-0,Put,22-2,21,"2,320","1,112.50"
Call,27-3,47,"2,564","1,368.75",1170-0,Put,27-3,332,"4,292","1,368.75"
Call,23-2,20,"2,459","1,162.50",1180-0,Put,33-2,46,"2,596","1,662.50"
Call,19-5,9,"2,131",981.25,1190-0,Put,39-5,10,"1,846","1,981.25"
Call,16-4,129,"7,448",825.00,1200-0,Put,46-3,12,160,"2,318.75"
Call,13-7,22,731,693.75,1210-0,Put,53-5,10,133,"2,681.25"
Call,11-4,262,"5,093",575.00,1220-0,Put,61-3,29,27,"3,068.75"
Call,9-5,95,"1,943",481.25,1230-0,Put,69-3,20,8,"3,468.75"
Call,8-0,27,"3,039",400.00,1240-0,Put,77-6,N/A,44,"3,887.50"
Call,6-5,105,"13,353",331.25,1250-0,Put,86-3,N/A,41,"4,318.75"
Call,5-4,1,"1,684",275.00,1260-0,Put,95-1,N/A,N/A,"4,756.25"
Call,4-4,1,"1,072",225.00,1270-0,Put,104-2,N/A,10,"5,212.50"
Call,3-6,14,"1,918",187.50,1280-0,Put,113-4,N/A,1,"5,675.00"
Call,3-1,54,483,156.25,1290-0,Put,122-7,N/A,10,"6,143.75"
Call,2-5,2,"7,980",131.25,1300-0,Put,132-2,N/A,1,"6,612.50"
Call,2-2,23,594,112.50,1310-0,Put,141-7,N/A,N/A,"7,093.75"
Call,2-0,9,343,100.00,1320-0,Put,151-5,N/A,N/A,"7,581.25"
Call,1-6,16,564,87.50,1330-0,Put,161-3,N/A,1,"8,068.75"
Call,1-4,53,326,75.00,1340-0,Put,171-1,N/A,1,"8,556.25"
Call,1-3,50,"2,785",68.75,1350-0,Put,180-7,N/A,N/A,"9,043.75"
Call,1-2,N/A,747,62.50,1360-0,Put,190-6,N/A,N/A,"9,537.50"
Call,1-1,3,174,56.25,1370-0,Put,200-5,N/A,N/A,"10,031.25"
Call,1-0,1,"3,140",50.00,1380-0,Put,210-4,N/A,N/A,"10,525.00"
Call,0-7,N/A,43,43.75,1390-0,Put,220-3,N/A,N/A,"11,018.75"
Call,0-7,3,"13,685",43.75,1400-0,Put,230-3,N/A,12,"11,518.75"
Call,0-6,N/A,84,37.50,1410-0,Put,240-2,N/A,N/A,"12,012.50"
Call,0-5,N/A,446,31.25,1420-0,Put,250-2,N/A,N/A,"12,512.50"
Call,0-5,N/A,19,31.25,1430-0,Put,260-1,N/A,N/A,"13,006.25"
Call,0-5,N/A,217,31.25,1440-0,Put,270-1,N/A,N/A,"13,506.25"
Call,0-4,10,224,25.00,1450-0,Put,280-1,N/A,N/A,"14,006.25"
Call,0-4,N/A,413,25.00,1460-0,Put,290-0,N/A,N/A,"14,500.00"
Call,0-4,N/A,100,25.00,1470-0,Put,300-0,N/A,N/A,"15,000.00"
Call,0-3,N/A,328,18.75,1480-0,Put,310-0,N/A,N/A,"15,500.00"
Call,0-3,1,483,18.75,1500-0,Put,330-0,N/A,N/A,"16,500.00"
Call,0-3,N/A,141,18.75,1520-0,Put,350-0,N/A,N/A,"17,500.00"
Call,0-2,N/A,163,12.50,1540-0,Put,370-0,N/A,N/A,"18,500.00"
Call,0-2,N/A,195,12.50,1560-0,Put,390-0,N/A,N/A,"19,500.00"
Call,0-2,N/A,230,12.50,1580-0,Put,410-0,N/A,N/A,"20,500.00"
Call,0-2,N/A,291,12.50,1600-0,Put,430-0,N/A,N/A,"21,500.00"
Call,0-1,N/A,54,6.25,1620-0,Put,450-0,N/A,N/A,"22,500.00"
Call,0-1,N/A,64,6.25,1640-0,Put,470-0,N/A,N/A,"23,500.00"
Call,0-1,N/A,83,6.25,1660-0,Put,490-0,N/A,N/A,"24,500.00"
Call,0-1,N/A,30,6.25,1680-0,Put,510-0,N/A,N/A,"25,500.00"
Call,0-1,N/A,103,6.25,1700-0,Put,530-0,N/A,N/A,"26,500.00"
Call,0-1,N/A,19,6.25,1720-0,Put,550-0,N/A,N/A,"27,500.00"
Call,0-1,N/A,94,6.25,1740-0,Put,570-0,N/A,N/A,"28,500.00"
Call,0-1,N/A,38,6.25,1760-0,Put,590-0,N/A,N/A,"29,500.00"
Call,0-1,N/A,50,6.25,1780-0,Put,610-0,N/A,N/A,"30,500.00"
Call,0-1,N/A,246,6.25,1800-0,Put,630-0,N/A,N/A,"31,500.00"
Call,0-1,N/A,204,6.25,1900-0,Put,730-0,N/A,N/A,"36,500.00"
Call,0-1,N/A,163,6.25,2000-0,Put,830-0,N/A,N/A,"41,500.00"
Call,0-1,N/A,24,6.25,2100-0,Put,930-0,N/A,N/A,"46,500.00"
Call,0-1,N/A,65,6.25,2200-0,Put,1030-0,N/A,N/A,"51,500.00"
Call,0-1,N/A,10,6.25,2300-0,Put,1130-0,N/A,N/A,"56,500.00"
Call,0-1,N/A,N/A,6.25,2400-0,Put,1230-0,N/A,N/A,"61,500.00"
Call,0-1,N/A,355,6.25,2500-0,Put,1330-0,N/A,N/A,"66,500.00"
Call,0-1,N/A,N/A,6.25,2600-0,Put,1430-0,N/A,N/A,"71,500.00"
Call,0-1,N/A,N/A,6.25,2700-0,Put,1530-0,N/A,N/A,"76,500.00"
Call,0-1,N/A,1,6.25,2800-0,Put,1630-0,N/A,N/A,"81,500.00"
Call,0-1,N/A,N/A,6.25,2900-0,Put,1730-0,N/A,N/A,"86,500.00"
Call,0-1,N/A,"1,555",6.25,3000-0,Put,1830-0,N/A,N/A,"91,500.00"
"Downloaded from Barchart.com as of 07-10-2026 01:18am CDT"
