Strike,Type,Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Time
382.50,Call,10.36,48.23%,0.26037547696785,0.0044101840519877,-0.18241531799085,0.49135955776477,+3.16%,08/21/26
385.00,Call,9.94,48.33%,0.25181773548739,0.004324847196464,-0.18080337483938,0.48292163769794,+3.26%,08/21/26
390.00,Call,9.15,48.55%,0.23542472042892,0.0041530048859728,-0.17741855223167,0.46577416133281,+3.48%,08/21/26
395.00,Call,8.43,48.77%,0.22007112165664,0.0039803907077113,-0.17393608561997,0.44850555163322,+3.70%,08/21/26
400.00,Call,7.75,48.96%,0.20538275586599,0.0038092292898417,-0.17013013498602,0.43084878547277,+3.89%,08/21/26
410.00,Call,6.61,49.48%,0.17952049005338,0.0034724448512835,-0.16301292386942,0.39691446978772,+4.41%,08/21/26
412.50,Call,6.35,49.60%,0.17350880277586,0.0033904951495291,-0.16116373031071,0.38848073505595,+4.53%,08/21/26
420.00,Call,5.64,49.97%,0.15674361047713,0.0031512886329369,-0.15571447659614,0.36380979441781,+4.90%,08/21/26
425.00,Call,5.21,50.21%,0.14640248753416,0.002997595681627,-0.15205180852444,0.34770941595081,+5.14%,08/21/26
430.00,Call,4.83,50.49%,0.13700458219125,0.0028501403174289,-0.14866059820549,0.33246187710539,+5.42%,08/21/26
435.00,Call,4.47,50.74%,0.12805027460294,0.0027074228528942,-0.1451686168622,0.31736323048974,+5.67%,08/21/26
440.00,Call,4.15,51.02%,0.11989607904506,0.0025714611051903,-0.14193015374762,0.30310644188721,+5.95%,08/21/26
450.00,Call,3.58,51.57%,0.10512576235534,0.002316478541658,-0.13563852749704,0.27597319201237,+6.50%,08/21/26
460.00,Call,3.12,52.20%,0.092758273632279,0.0020883477244592,-0.13018440836875,0.25185421459725,+7.13%,08/21/26
470.00,Call,2.73,52.84%,0.082055869334956,0.0018829949143136,-0.12517110311192,0.22985303221378,+7.77%,08/21/26
500.00,Call,1.9,54.90%,0.058348191394079,0.0013942168784287,-0.11338908348523,0.17681781366905,+9.83%,08/21/26
550.00,Call,1.17,58.65%,0.036244229201781,0.00089057158229243,-0.10223673046035,0.12067257151241,+13.58%,08/21/26
600.00,Call,0.79,62.30%,0.02437257782034,0.00060341310846341,-0.096900619897694,0.086841250908702,+17.23%,08/21/26
650.00,Call,0.57,65.74%,0.01741464890248,0.00043019822252563,-0.094983094256865,0.065332904518294,+20.67%,08/21/26
800.00,Call,0.26,74.32%,0.0077236478189123,0.00018794985910291,-0.098332080782959,0.032269284164478,+29.25%,08/21/26
900.00,Call,0.19,79.77%,0.0054635394373676,0.00012893082125663,-0.10541851872726,0.023759355788082,+34.70%,08/21/26
100.00,Put,0.01,76.68%,-0.00030658252955719,9.6768311538088E-6,-0.00074459096150911,0.0017142296040686,+31.61%,08/21/26
110.00,Put,0.01,70.63%,-0.00033323418659932,1.1353489834213E-5,-0.00073554024637425,0.0018524364996496,+25.56%,08/21/26
120.00,Put,0.02,68.84%,-0.00065316571088485,2.1728476194252E-5,-0.0013392733792642,0.003455511302293,+23.77%,08/21/26
125.00,Put,0.02,66.11%,-0.00068049148191167,2.3495788271991E-5,-0.0013307275057438,0.0035886757938956,+21.04%,08/21/26
130.00,Put,0.03,65.78%,-0.00099705325030409,3.3562315209406E-5,-0.0018852001830995,0.0051000835289287,+20.71%,08/21/26
135.00,Put,0.04,64.86%,-0.00131915271326,4.3985555262938E-5,-0.0024032360542408,0.0065907037763545,+19.79%,08/21/26
140.00,Put,0.05,63.63%,-0.0016523134543158,5.5060941097318E-5,-0.0028943736999357,0.0080940070701804,+18.56%,08/21/26
145.00,Put,0.06,62.21%,-0.0019993862965443,6.6974902373632E-5,-0.0033625168119582,0.0096262733266774,+17.15%,08/21/26
147.50,Put,0.06,60.96%,-0.0020403422534028,6.9620509935008E-5,-0.0033495067745866,0.009805083300689,+15.89%,08/21/26
150.00,Put,0.07,60.68%,-0.0023617872017389,7.9867435432954E-5,-0.0038086331567953,0.011195290495589,+15.61%,08/21/26
152.50,Put,0.08,60.28%,-0.0026868837215818,9.0329805522043E-5,-0.0042529499323777,0.012579555629813,+15.21%,08/21/26
155.00,Put,0.09,59.80%,-0.0030164977457482,0.00010106560262648,-0.0046835937078278,0.013963208529829,+14.73%,08/21/26
157.50,Put,0.09,58.59%,-0.0030788964023477,0.00010508718194844,-0.0046643280216069,0.014223064968827,+13.52%,08/21/26
160.00,Put,0.1,58.05%,-0.0034211275345304,0.00011660296855633,-0.0050804728844849,0.015637315918598,+12.98%,08/21/26
162.50,Put,0.11,57.46%,-0.0037699827661863,0.00012851978800476,-0.0054853248159537,0.017061115666792,+12.39%,08/21/26
165.00,Put,0.12,56.83%,-0.0041257143651804,0.0001408728295411,-0.0058788735253949,0.018495998237643,+11.76%,08/21/26
167.50,Put,0.14,56.66%,-0.0047614367924735,0.00016060723482444,-0.0066664214913989,0.02102159267983,+11.59%,08/21/26
170.00,Put,0.15,55.93%,-0.0051343556918278,0.00017399415387961,-0.0070330597248075,0.02248207198345,+10.86%,08/21/26
172.50,Put,0.16,55.18%,-0.0055161062282585,0.00018796087418054,-0.0073898897003112,0.023962332304342,+10.11%,08/21/26
175.00,Put,0.18,54.80%,-0.0061790814273253,0.00020930495918619,-0.0081182293582599,0.026500122454996,+9.73%,08/21/26
177.50,Put,0.19,54.00%,-0.0065826595704478,0.00022463871225587,-0.0084515335795842,0.028025951132425,+8.93%,08/21/26
180.00,Put,0.21,53.52%,-0.0072686343929277,0.00024737447604865,-0.0091418688062348,0.030588999599627,+8.46%,08/21/26
182.50,Put,0.23,52.99%,-0.0079668705970128,0.00027086421053709,-0.0098097453866936,0.033161332348135,+7.92%,08/21/26
185.00,Put,0.25,52.42%,-0.0086793439922971,0.00029521700922175,-0.010456954378825,0.035751082269625,+7.35%,08/21/26
187.50,Put,0.27,51.81%,-0.0094074807469932,0.00032052801492912,-0.011084430773677,0.038363857419643,+6.74%,08/21/26
190.00,Put,0.29,51.17%,-0.010152789483779,0.00034689532051315,-0.011693101629878,0.041005172404681,+6.10%,08/21/26
192.50,Put,0.32,50.72%,-0.011181798589297,0.0003806099789365,-0.012607667993819,0.044600823591584,+5.65%,08/21/26
195.00,Put,0.34,50.02%,-0.011965679184723,0.00040936252402329,-0.013173713032177,0.047302848508042,+4.95%,08/21/26
197.50,Put,0.38,49.69%,-0.013299189937716,0.0004515525131793,-0.014342933145612,0.051831315421663,+4.62%,08/21/26
200.00,Put,0.41,49.11%,-0.014392106943078,0.0004890787971117,-0.015166257954688,0.055483267640327,+4.04%,08/21/26
202.50,Put,0.45,48.66%,-0.015770310494969,0.00053390224468055,-0.016254920969007,0.060017919093087,+3.59%,08/21/26
205.00,Put,0.5,48.32%,-0.017431576439334,0.00058579452067063,-0.017587903583356,0.065387108225363,+3.25%,08/21/26
207.50,Put,0.55,47.91%,-0.019118523989857,0.00063914678867151,-0.018866495955892,0.070739430704432,+2.84%,08/21/26
210.00,Put,0.6,47.44%,-0.020835796066411,0.00069422993689095,-0.020093657515691,0.076092442907411,+2.37%,08/21/26
212.50,Put,0.66,47.06%,-0.022835589056146,0.00075627859097633,-0.021532460103161,0.082213582491569,+1.99%,08/21/26
215.00,Put,0.73,46.72%,-0.025115756593941,0.00082506589131898,-0.02316372231428,0.0890561075584,+1.65%,08/21/26
217.50,Put,0.8,46.32%,-0.027430891691003,0.00089578141305805,-0.024721583919398,0.095865471058976,+1.25%,08/21/26
220.00,Put,0.88,45.97%,-0.030026063432087,0.00097315491134051,-0.026447762011325,0.10334521273568,+0.90%,08/21/26
222.50,Put,0.96,45.55%,-0.032664247033113,0.0010528460464057,-0.028093545825256,0.11079450734713,+0.48%,08/21/26
225.00,Put,1.06,45.25%,-0.035815364516378,0.0011431475764233,-0.030108304354035,0.11950257281778,+0.18%,08/21/26
227.50,Put,1.16,44.88%,-0.039012993686989,0.001235850889455,-0.032022435640567,0.12814281162322,-0.19%,08/21/26
230.00,Put,1.28,44.60%,-0.042711978169424,0.0013384031927369,-0.034255999353854,0.1379083616566,-0.47%,08/21/26
232.50,Put,1.4,44.25%,-0.046462830638117,0.0014435558410226,-0.036370580299012,0.147576644618,-0.82%,08/21/26
235.00,Put,1.54,43.97%,-0.050705600747488,0.0015579047019534,-0.038758952409552,0.15824794865423,-1.10%,08/21/26
237.50,Put,1.7,43.74%,-0.055426970693608,0.0016806780314969,-0.041385408763037,0.16981455499762,-1.33%,08/21/26
240.00,Put,1.88,43.54%,-0.060612063452141,0.0018110983494617,-0.044214615659536,0.1821682323351,-1.53%,08/21/26
242.50,Put,2.08,43.37%,-0.066247653802515,0.0019484470021677,-0.047214164764571,0.19520893611411,-1.70%,08/21/26
245.00,Put,2.29,43.16%,-0.072129494524858,0.0020901447630509,-0.050187928442958,0.20841862023672,-1.91%,08/21/26
247.50,Put,2.54,43.06%,-0.078817156110406,0.0022413031727392,-0.05360004463169,0.22297307057288,-2.01%,08/21/26
250.00,Put,2.81,42.96%,-0.085905225845185,0.0023970342000997,-0.057080075439027,0.23789328669679,-2.11%,08/21/26
252.50,Put,3.1,42.85%,-0.093384717130808,0.002556901654053,-0.060603494266155,0.25310853842989,-2.22%,08/21/26
255.00,Put,3.42,42.77%,-0.10141147775,0.002721365781132,-0.064284874808533,0.26886942607316,-2.30%,08/21/26
257.50,Put,3.78,42.74%,-0.11011558177045,0.0028899473208153,-0.068216262987472,0.28533519251913,-2.33%,08/21/26
260.00,Put,4.16,42.68%,-0.11915080554299,0.0030602805769509,-0.072090950851679,0.30177848513264,-2.38%,08/21/26
262.50,Put,4.58,42.67%,-0.12879970046483,0.0032324466197786,-0.076133035696921,0.31864890470802,-2.40%,08/21/26
265.00,Put,5.03,42.66%,-0.13888350579227,0.0034051322350001,-0.08017997171826,0.33555851554694,-2.41%,08/21/26
267.50,Put,5.53,42.70%,-0.14963842949685,0.0035770220921039,-0.084423662172076,0.35282239872524,-2.37%,08/21/26
270.00,Put,6.06,42.72%,-0.16076016791828,0.0037474074857744,-0.088598226600997,0.36987849793812,-2.35%,08/21/26
272.50,Put,6.64,42.79%,-0.17245890181103,0.0039143976113314,-0.092882407126682,0.38698592573741,-2.28%,08/21/26
275.00,Put,7.26,42.87%,-0.18457000822283,0.0040774445656291,-0.097133710672303,0.40383563991394,-2.20%,08/21/26
277.50,Put,7.92,42.95%,-0.19705839612533,0.0042357793660744,-0.10132259421386,0.42033148355823,-2.12%,08/21/26
280.00,Put,8.63,43.06%,-0.20998210770085,0.0043875129609359,-0.10551099054994,0.43649982194292,-2.01%,08/21/26
282.50,Put,9.38,43.17%,-0.22320390872193,0.0045330018226703,-0.10958014562716,0.45212616714294,-1.90%,08/21/26
285.00,Put,10.16,43.26%,-0.23661659046725,0.0046732543626594,-0.11342832498429,0.46706522576121,-1.81%,08/21/26
287.50,Put,10.99,43.37%,-0.25035259543537,0.0048050105486226,-0.11720417009885,0.48144205601744,-1.70%,08/21/26
290.00,Put,11.86,43.48%,-0.26429985253919,0.0049292744590852,-0.12080737423409,0.49511347120212,-1.59%,08/21/26
292.50,Put,12.78,43.60%,-0.27848802023123,0.0050439602717598,-0.1242979972988,0.50808959148129,-1.47%,08/21/26
295.00,Put,13.73,43.71%,-0.2927711733149,0.0051522901617791,-0.12751593421197,0.52022787716865,-1.36%,08/21/26
297.50,Put,14.73,43.83%,-0.3072304664565,0.0052504224927206,-0.13059661300004,0.53159293455255,-1.24%,08/21/26
300.00,Put,15.78,43.96%,-0.32182171261141,0.0053379924635343,-0.13352719341549,0.54214049931864,-1.11%,08/21/26
302.50,Put,16.86,44.08%,-0.33644004126757,0.0054187985480308,-0.13616629155725,0.55179769540039,-0.99%,08/21/26
305.00,Put,17.97,44.17%,-0.3510799567152,0.0054929026510142,-0.13851469086137,0.56057233187343,-0.89%,08/21/26
307.50,Put,19.14,44.31%,-0.36579190250643,0.0055539911852041,-0.1407639699766,0.56850020264018,-0.76%,08/21/26
310.00,Put,20.34,44.42%,-0.38047778839647,0.0056082654573193,-0.1427201375947,0.57553666667416,-0.65%,08/21/26
312.50,Put,21.58,44.54%,-0.39513861976261,0.0056536389517589,-0.14444846736947,0.58169748106371,-0.53%,08/21/26
315.00,Put,22.87,44.67%,-0.40975203044399,0.0056879603728162,-0.14601255933568,0.58698873977912,-0.40%,08/21/26
317.50,Put,24.19,44.79%,-0.42428611872715,0.0057156029041791,-0.14729352811051,0.59141750426391,-0.28%,08/21/26
320.00,Put,25.56,44.93%,-0.43871430220068,0.0057323049656861,-0.14841927564685,0.59499772128978,-0.14%,08/21/26
322.50,Put,26.97,45.07%,-0.45301174076098,0.0057403596355486,-0.14933558639737,0.59774805568855,0.00%,08/21/26
325.00,Put,28.41,45.21%,-0.46717522447088,0.0057420485965601,-0.14999035139828,0.59969354054723,+0.14%,08/21/26
327.50,Put,29.9,45.36%,-0.48114534612976,0.0057332551522047,-0.15051449747563,0.60085532706367,+0.29%,08/21/26
330.00,Put,31.42,45.51%,-0.49494411058889,0.0057184261743922,-0.15079723974859,0.60126614588548,+0.44%,08/21/26
332.50,Put,32.97,45.65%,-0.50856252163746,0.0056977087270432,-0.15084915047248,0.60095421750856,+0.59%,08/21/26
335.00,Put,34.56,45.81%,-0.52195051446472,0.0056692330816758,-0.15074404911279,0.59995253468762,+0.74%,08/21/26
337.50,Put,36.18,45.96%,-0.53512874788993,0.005635250931328,-0.15043259782485,0.59829243168826,+0.89%,08/21/26
340.00,Put,37.83,46.10%,-0.54808654160232,0.0055959312715967,-0.14992753631871,0.59600618855573,+1.03%,08/21/26
342.50,Put,39.52,46.26%,-0.56075842601023,0.0055495683123128,-0.14930776544528,0.59314090261677,+1.19%,08/21/26
345.00,Put,41.24,46.43%,-0.57317825632397,0.0054983511187378,-0.14852364653301,0.58972567861705,+1.36%,08/21/26
347.50,Put,42.99,46.59%,-0.58533399058463,0.0054424919811996,-0.14759008025969,0.58579790818028,+1.52%,08/21/26
350.00,Put,44.76,46.74%,-0.59728093527751,0.0053839607259319,-0.1464522283233,0.5813697688727,+1.67%,08/21/26
352.50,Put,46.55,46.88%,-0.60901905563102,0.0053228319374141,-0.1451211908511,0.57646661738957,+1.81%,08/21/26
355.00,Put,48.38,47.04%,-0.62039568724308,0.0052559444309519,-0.14375482131345,0.57118753557968,+1.97%,08/21/26
357.50,Put,50.22,47.18%,-0.63162430738055,0.0051884108250931,-0.14215004091812,0.56546379972486,+2.11%,08/21/26
360.00,Put,52.09,47.32%,-0.64254739064643,0.0051171579060047,-0.14046688531219,0.55940153468417,+2.25%,08/21/26
362.50,Put,53.99,47.47%,-0.65315006387347,0.0050424740421088,-0.13872340044558,0.55304583102926,+2.41%,08/21/26
365.00,Put,55.9,47.61%,-0.66360074232627,0.0049673872837719,-0.13677597849725,0.54632167849049,+2.54%,08/21/26
367.50,Put,57.84,47.75%,-0.67371637474335,0.0048892356091342,-0.13479726475394,0.53937324888718,+2.68%,08/21/26
370.00,Put,59.79,47.88%,-0.68367947714759,0.0048107919060934,-0.13263592030898,0.53210116419885,+2.81%,08/21/26
